#time	V(u2)	V(v1)
5.105061632176697e-004	5.120748e-002	-5.078467e-002
5.172204489319556e-004	8.066567e-002	-8.024248e-002
5.239347346462415e-004	1.099024e-001	-1.094792e-001
5.306490203605273e-004	1.389176e-001	-1.384947e-001
5.373633060748132e-004	1.677114e-001	-1.672891e-001
5.440775917890991e-004	1.962837e-001	-1.958623e-001
5.507918775033850e-004	2.246346e-001	-2.242145e-001
5.552204489319565e-004	2.431159e-001	-2.426480e-001
5.596490203605280e-004	2.613250e-001	-2.608581e-001
5.640775917890996e-004	2.792621e-001	-2.788447e-001
5.685061632176711e-004	2.969270e-001	-2.966078e-001
5.729347346462427e-004	3.143198e-001	-3.141475e-001
5.773633060748142e-004	3.314404e-001	-3.314636e-001
5.817918775033857e-004	3.482890e-001	-3.485563e-001
5.840775917891001e-004	3.568078e-001	-3.572598e-001
5.863633060748144e-004	3.650718e-001	-3.658849e-001
5.886490203605287e-004	3.730810e-001	-3.744316e-001
5.909347346462431e-004	3.808353e-001	-3.828999e-001
5.932204489319575e-004	3.883348e-001	-3.912898e-001
5.955061632176718e-004	3.955795e-001	-3.996013e-001
5.977918775033861e-004	4.025694e-001	-4.078345e-001
6.007918775033862e-004	4.110363e-001	-4.185063e-001
6.037918775033863e-004	4.187964e-001	-4.290288e-001
6.065061632176721e-004	4.250887e-001	-4.384240e-001
6.092204489319579e-004	4.309014e-001	-4.476846e-001
6.119347346462437e-004	4.362343e-001	-4.568105e-001
6.146490203605293e-004	4.410874e-001	-4.658017e-001
6.173633060748151e-004	4.454609e-001	-4.746582e-001
6.200775917891009e-004	4.493546e-001	-4.833801e-001
6.227918775033867e-004	4.527686e-001	-4.919673e-001
6.267918775033868e-004	4.572147e-001	-5.043683e-001
6.307918775033869e-004	4.612730e-001	-5.164310e-001
6.347918775033870e-004	4.649436e-001	-5.281553e-001
6.387918775033871e-004	4.682265e-001	-5.395412e-001
6.427918775033872e-004	4.711216e-001	-5.505889e-001
6.467918775033873e-004	4.736289e-001	-5.612982e-001
6.507918775033874e-004	4.757485e-001	-5.716692e-001
6.592204489319591e-004	4.795956e-001	-5.924046e-001
6.676490203605306e-004	4.829761e-001	-6.113538e-001
6.760775917891023e-004	4.858899e-001	-6.285168e-001
6.845061632176740e-004	4.883371e-001	-6.438936e-001
6.929347346462456e-004	4.903177e-001	-6.574842e-001
7.013633060748172e-004	4.918315e-001	-6.692887e-001
7.097918775033888e-004	4.928788e-001	-6.793069e-001
7.255061632176750e-004	4.945607e-001	-6.925719e-001
7.412204489319611e-004	4.953684e-001	-6.990991e-001
7.569347346462472e-004	4.953019e-001	-6.988883e-001
7.726490203605333e-004	4.943611e-001	-6.919397e-001
7.883633060748194e-004	4.925460e-001	-6.782531e-001
8.040775917891054e-004	4.898568e-001	-6.578287e-001
8.197918775033915e-004	4.862933e-001	-6.306664e-001
8.256490203605345e-004	4.846470e-001	-6.189936e-001
8.315061632176775e-004	4.825921e-001	-6.065248e-001
8.373633060748205e-004	4.801283e-001	-5.932599e-001
8.432204489319635e-004	4.772557e-001	-5.791991e-001
8.490775917891065e-004	4.739744e-001	-5.643422e-001
8.549347346462496e-004	4.702843e-001	-5.486893e-001
8.607918775033925e-004	4.661854e-001	-5.322405e-001
8.639347346462498e-004	4.636775e-001	-5.231314e-001
8.670775917891069e-004	4.607764e-001	-5.138268e-001
8.702204489319642e-004	4.574821e-001	-5.043268e-001
8.733633060748214e-004	4.537945e-001	-4.946312e-001
8.765061632176786e-004	4.497137e-001	-4.847403e-001
8.796490203605359e-004	4.452397e-001	-4.746538e-001
8.827918775033930e-004	4.403725e-001	-4.643719e-001
8.862204489319646e-004	4.341828e-001	-4.529446e-001
8.896490203605360e-004	4.271138e-001	-4.413201e-001
8.930775917891076e-004	4.191655e-001	-4.294984e-001
8.965061632176791e-004	4.103380e-001	-4.174794e-001
8.999347346462507e-004	4.006311e-001	-4.052632e-001
9.033633060748221e-004	3.900450e-001	-3.928498e-001
9.067918775033936e-004	3.785796e-001	-3.802392e-001
